Source_Currency,Target_Currency,Mid_Market_Rate,Spread_Percent
GHS,EUR,0.069,0.4
IDR,USD,0.000063,2.5
LKR,SAR,0.0125,6.0
USD,AUD,1.52,0.3
BRL,EUR,0.1855,0.3
NGN,USD,0.0008,1.5
EUR,USD,1.08,0.1
JPY,THB,0.24,0.3
ZAR,USD,0.052,0.8
USD,GBP,0.78,0.1
LKR,USD,0.00333,1.5
USD,INR,83.50,0.2
EUR,INR,90.00,0.3
GHS,PLN,0.30,5.0
VND,JPY,0.006,0.1
BRL,INR,16.70,5.0
AED,SAR,1.02,0.1
USD,ZAR,19.00,0.5
IDR,THB,0.0023,0.1
GBP,USD,1.28,0.1
ZAR,AUD,0.081,4.0
VND,USD,0.00004,2.5
AED,USD,0.27,0.05
USD,THB,36.50,0.5
NGN,ZAR,0.016,6.0
BRL,GBP,0.156,0.6
USD,SAR,3.75,0.2
EUR,PLN,4.35,0.1
LKR,AED,0.0122,0.4
GBP,AUD,1.95,0.1
JPY,USD,0.0066,0.15
USD,EUR,0.92,0.1
IDR,JPY,0.0095,0.4
EUR,ZAR,20.60,0.3
GBP,INR,107.00,0.3
USD,JPY,150.00,0.15
GHS,USD,0.075,1.2
ZAR,GBP,0.041,0.1
USD,PLN,4.00,0.5
USD,AED,3.67,0.05
BRL,USD,0.20,0.8
NGN,EUR,0.0008,0.5
INR,USD,0.012,0.2
USD,RUB,92.00,2.0
RUB,USD,0.0108,2.0
EUR,RUB,100.00,2.5
RUB,EUR,0.01,2.5
RUB,INR,0.90,0.2
BRL,RUB,18.00,0.2
JPY,EUR,0.006,0.1
THB,ZAR,0.52,0.1
